date,session_id,user_id,source,medium,device_category,country,sessions,pageviews,bounce,session_duration_sec,transactions,revenue
2024-04-12,S100000,U7065,google,email,mobile,India,1,10,0,917,1,264.82
2024-06-28,S100001,U2094,bing,none,tablet,United Kingdom,1,1,0,497,0,0.0
2024-04-02,S100002,U3411,linkedin,email,mobile,India,1,13,0,1259,0,0.0
2024-01-15,S100003,U3617,direct,email,mobile,United Kingdom,1,6,0,1295,0,0.0
2024-04-16,S100004,U6921,google,cpc,desktop,India,1,5,0,335,1,88.84
2024-03-12,S100005,U1762,bing,email,desktop,Australia,1,10,0,1237,0,0.0
2024-01-21,S100006,U3323,direct,cpc,desktop,Australia,1,8,0,507,0,0.0
2024-04-12,S100007,U5145,instagram,none,mobile,India,1,4,1,1557,0,0.0
2024-05-01,S100008,U3775,bing,none,desktop,United Kingdom,1,12,0,1181,0,0.0
2024-03-15,S100009,U6001,email,cpc,mobile,Canada,1,1,0,478,0,0.0
2024-03-28,S100010,U5659,facebook,organic,mobile,United Kingdom,1,11,1,259,1,251.2
2024-04-26,S100011,U5878,direct,none,desktop,India,1,2,1,1094,0,0.0
2024-04-09,S100012,U7628,google,organic,desktop,United Kingdom,1,8,0,822,0,0.0
2024-04-13,S100013,U4155,instagram,none,mobile,United States,1,10,1,703,0,0.0
2024-05-31,S100014,U4970,linkedin,none,desktop,United Kingdom,1,8,0,1445,0,0.0
2024-05-10,S100015,U3040,instagram,referral,mobile,Australia,1,13,1,853,0,0.0
2024-05-29,S100016,U6927,bing,email,mobile,Australia,1,14,0,1393,1,47.95
2024-02-22,S100017,U1583,facebook,email,desktop,United States,1,5,1,1723,0,0.0
2024-01-02,S100018,U6415,instagram,organic,desktop,United Kingdom,1,6,1,865,0,0.0
2024-03-28,S100019,U5331,linkedin,email,desktop,Canada,1,2,0,1074,0,0.0
2024-06-06,S100020,U3103,email,organic,mobile,United Kingdom,1,11,1,376,1,419.82
2024-02-07,S100021,U2942,google,none,desktop,Australia,1,12,0,39,0,0.0
2024-05-09,S100022,U5455,direct,referral,mobile,Australia,1,9,0,116,0,0.0
2024-01-21,S100023,U7026,facebook,referral,mobile,India,1,6,0,574,0,0.0
2024-06-09,S100024,U1109,linkedin,none,mobile,Australia,1,12,1,902,0,0.0
2024-02-27,S100025,U1191,bing,cpc,desktop,India,1,9,0,1392,0,0.0
2024-01-22,S100026,U1903,bing,cpc,mobile,Australia,1,11,0,744,0,0.0
2024-03-29,S100027,U6212,bing,email,mobile,Australia,1,10,0,33,0,0.0
2024-02-18,S100028,U1861,facebook,organic,desktop,Canada,1,3,0,1076,0,0.0
2024-02-28,S100029,U7711,instagram,referral,mobile,India,1,6,0,1250,1,331.99
2024-06-18,S100030,U2083,facebook,email,mobile,India,1,10,1,1551,0,0.0
2024-01-15,S100031,U1649,bing,none,mobile,Australia,1,5,1,930,0,0.0
2024-06-23,S100032,U5134,email,referral,desktop,India,1,9,0,302,0,0.0
2024-02-20,S100033,U4611,linkedin,organic,mobile,Australia,1,13,0,1504,1,261.71
2024-04-17,S100034,U1636,direct,organic,desktop,Australia,1,10,0,1160,0,0.0
2024-02-24,S100035,U2036,direct,cpc,mobile,United Kingdom,1,1,0,910,0,0.0
2024-03-04,S100036,U5131,facebook,email,mobile,India,1,9,0,1431,0,0.0
2024-05-10,S100037,U3148,bing,none,desktop,United States,1,5,0,1253,1,172.05
2024-02-20,S100038,U4865,google,referral,desktop,India,1,1,0,965,0,0.0
2024-05-14,S100039,U4157,email,organic,mobile,India,1,10,0,1780,0,0.0
2024-01-21,S100040,U4587,facebook,referral,desktop,Canada,1,8,1,31,1,126.26
2024-03-13,S100041,U4294,bing,none,desktop,United States,1,7,1,1174,0,0.0
2024-06-15,S100042,U6457,instagram,referral,desktop,United States,1,14,0,1668,1,87.69
2024-01-18,S100043,U7079,direct,email,mobile,Canada,1,6,0,178,0,0.0
2024-05-11,S100044,U5261,direct,cpc,mobile,Canada,1,2,0,977,0,0.0
2024-03-29,S100045,U3430,email,referral,mobile,India,1,5,1,181,1,253.99
2024-02-29,S100046,U2879,direct,cpc,mobile,United Kingdom,1,3,0,1618,1,177.65
2024-01-14,S100047,U4966,google,none,mobile,Canada,1,2,1,1731,1,283.03
2024-01-09,S100048,U7933,bing,cpc,desktop,United States,1,14,0,335,0,0.0
2024-03-30,S100049,U4713,bing,referral,desktop,United States,1,10,0,1732,2,57.11
2024-02-22,S100050,U5126,email,referral,mobile,India,1,1,0,911,0,0.0
2024-05-09,S100051,U5106,bing,organic,mobile,United Kingdom,1,9,0,504,0,0.0
2024-03-24,S100052,U3011,email,referral,mobile,Australia,1,2,0,1417,0,0.0
2024-04-01,S100053,U4373,bing,cpc,mobile,Canada,1,13,0,836,2,39.92
2024-04-20,S100054,U3143,google,organic,mobile,Canada,1,11,1,1124,0,0.0
2024-06-20,S100055,U3500,linkedin,referral,desktop,India,1,1,0,1693,0,0.0
2024-01-08,S100056,U7335,facebook,referral,mobile,United Kingdom,1,14,0,62,0,0.0
2024-06-23,S100057,U5581,facebook,none,desktop,United States,1,7,0,1210,0,0.0
2024-02-04,S100058,U2289,bing,organic,desktop,United States,1,9,0,1383,0,0.0
2024-03-21,S100059,U2447,instagram,none,mobile,Australia,1,6,0,807,0,0.0
2024-06-12,S100060,U4199,direct,none,mobile,United States,1,8,0,1769,0,0.0
2024-02-19,S100061,U7381,google,none,desktop,Canada,1,11,0,1760,0,0.0
2024-04-13,S100062,U2943,instagram,email,mobile,Australia,1,7,0,1440,0,0.0
2024-05-11,S100063,U7059,instagram,none,mobile,United Kingdom,1,9,0,1674,0,0.0
2024-01-02,S100064,U4183,bing,cpc,mobile,Australia,1,7,0,1212,0,0.0
2024-05-13,S100065,U6947,google,referral,mobile,United Kingdom,1,13,1,824,0,0.0
2024-02-23,S100066,U6565,facebook,email,desktop,United States,1,6,0,1592,0,0.0
2024-04-15,S100067,U6462,direct,none,tablet,India,1,1,1,1280,0,0.0
2024-01-04,S100068,U4216,facebook,referral,mobile,Australia,1,9,0,1305,0,0.0
2024-02-23,S100069,U4136,instagram,organic,mobile,Australia,1,10,0,396,0,0.0
2024-05-25,S100070,U4318,direct,organic,mobile,Canada,1,5,0,291,0,0.0
2024-02-13,S100071,U3782,linkedin,referral,desktop,Canada,1,13,0,675,0,0.0
2024-06-10,S100072,U1990,instagram,cpc,desktop,United Kingdom,1,2,0,567,0,0.0
2024-01-14,S100073,U5920,facebook,referral,mobile,India,1,14,0,1096,1,143.38
2024-04-04,S100074,U6558,facebook,referral,desktop,Canada,1,12,0,1584,1,57.1
2024-02-17,S100075,U3153,bing,email,mobile,Canada,1,11,0,45,0,0.0
2024-01-15,S100076,U7324,facebook,organic,desktop,United States,1,8,1,134,0,0.0
2024-02-09,S100077,U7327,google,organic,desktop,United States,1,13,1,820,0,0.0
2024-03-22,S100078,U1225,instagram,none,desktop,Canada,1,4,0,1256,0,0.0
2024-04-20,S100079,U1776,email,referral,mobile,United Kingdom,1,14,0,749,0,0.0
2024-02-22,S100080,U3837,email,referral,desktop,India,1,3,0,1731,0,0.0
2024-01-24,S100081,U6208,direct,cpc,mobile,Canada,1,13,0,1112,0,0.0
2024-06-02,S100082,U1687,facebook,organic,desktop,United Kingdom,1,1,1,1038,0,0.0
2024-05-03,S100083,U1529,bing,cpc,mobile,United Kingdom,1,5,0,77,0,0.0
2024-02-10,S100084,U4442,bing,email,desktop,Canada,1,3,0,689,0,0.0
2024-06-05,S100085,U6067,facebook,none,desktop,United Kingdom,1,4,0,1330,0,0.0
2024-01-15,S100086,U6031,google,cpc,mobile,Australia,1,9,1,1465,0,0.0
2024-02-14,S100087,U6518,bing,organic,mobile,United Kingdom,1,11,0,1231,1,188.45
2024-03-05,S100088,U3153,email,email,desktop,Canada,1,14,0,830,0,0.0
2024-03-29,S100089,U2294,direct,referral,mobile,United Kingdom,1,7,0,143,0,0.0
2024-03-11,S100090,U7094,instagram,email,desktop,Canada,1,11,0,325,2,236.02
2024-01-09,S100091,U7974,linkedin,cpc,desktop,United States,1,5,0,1783,0,0.0
2024-03-28,S100092,U2526,google,organic,desktop,Canada,1,8,1,467,1,384.37
2024-05-08,S100093,U5774,bing,cpc,desktop,United Kingdom,1,6,0,295,1,138.53
2024-05-15,S100094,U3896,instagram,referral,desktop,Canada,1,10,1,191,0,0.0
2024-03-03,S100095,U4103,linkedin,referral,desktop,India,1,2,0,533,0,0.0
2024-05-18,S100096,U3440,facebook,organic,mobile,Canada,1,7,0,1089,0,0.0
2024-03-21,S100097,U5135,facebook,none,desktop,Canada,1,1,1,616,0,0.0
2024-05-15,S100098,U7803,direct,email,mobile,India,1,3,0,487,1,203.21
2024-06-11,S100099,U4802,linkedin,email,desktop,India,1,12,1,1035,0,0.0
2024-06-11,S100100,U6201,facebook,referral,desktop,India,1,1,1,1700,1,358.94
2024-02-02,S100101,U1844,facebook,cpc,desktop,Australia,1,14,0,1424,0,0.0
2024-05-02,S100102,U6839,email,cpc,mobile,Canada,1,1,1,1539,1,297.14
2024-01-05,S100103,U7344,bing,none,mobile,India,1,5,1,301,0,0.0
2024-02-10,S100104,U1446,direct,cpc,mobile,India,1,6,0,1232,0,0.0
2024-01-28,S100105,U4915,instagram,email,desktop,United States,1,12,0,509,0,0.0
2024-05-14,S100106,U4109,facebook,cpc,mobile,Australia,1,3,0,986,0,0.0
2024-03-12,S100107,U2234,email,none,mobile,Canada,1,14,0,188,0,0.0
2024-01-12,S100108,U7587,google,email,desktop,United Kingdom,1,3,0,784,0,0.0
2024-06-10,S100109,U6446,google,cpc,desktop,Australia,1,3,0,233,0,0.0
2024-02-02,S100110,U7904,instagram,email,desktop,Australia,1,1,0,824,0,0.0
2024-02-17,S100111,U1226,linkedin,referral,mobile,United States,1,5,0,1331,0,0.0
2024-05-30,S100112,U5143,direct,referral,desktop,Canada,1,1,0,1196,0,0.0
2024-03-02,S100113,U3959,email,referral,mobile,Canada,1,10,0,1573,0,0.0
2024-02-06,S100114,U6558,bing,cpc,desktop,India,1,10,0,541,0,0.0
2024-04-08,S100115,U2830,email,none,desktop,India,1,3,1,145,1,125.91
2024-06-20,S100116,U4779,google,email,desktop,Australia,1,13,0,421,1,297.73
2024-04-13,S100117,U1186,google,organic,mobile,United States,1,6,0,1396,0,0.0
2024-02-04,S100118,U7488,instagram,referral,desktop,Canada,1,11,0,1426,0,0.0
2024-04-10,S100119,U7367,linkedin,referral,desktop,United States,1,6,0,717,0,0.0
2024-06-23,S100120,U3877,linkedin,organic,mobile,United Kingdom,1,3,0,959,0,0.0
2024-05-10,S100121,U3535,instagram,organic,desktop,Canada,1,9,1,755,0,0.0
2024-01-01,S100122,U2932,email,cpc,desktop,India,1,8,0,398,0,0.0
2024-01-05,S100123,U3924,google,email,desktop,Australia,1,11,1,1268,0,0.0
2024-05-21,S100124,U1848,email,referral,desktop,United States,1,3,0,1564,0,0.0
2024-04-12,S100125,U3032,email,none,desktop,India,1,5,0,598,0,0.0
2024-01-27,S100126,U2252,direct,cpc,desktop,Australia,1,5,1,930,0,0.0
2024-05-16,S100127,U6509,google,cpc,desktop,India,1,14,1,770,0,0.0
2024-01-15,S100128,U6074,linkedin,none,desktop,Canada,1,5,0,356,0,0.0
2024-03-30,S100129,U6708,bing,none,tablet,United States,1,3,1,66,0,0.0
2024-02-11,S100130,U6112,email,none,desktop,United Kingdom,1,5,0,1015,0,0.0
2024-05-03,S100131,U7331,google,organic,desktop,India,1,5,1,409,0,0.0
2024-06-27,S100132,U2881,email,referral,desktop,United States,1,4,0,825,0,0.0
2024-03-03,S100133,U1269,direct,organic,desktop,Canada,1,4,1,1565,0,0.0
2024-04-05,S100134,U2630,facebook,referral,mobile,India,1,2,0,1377,0,0.0
2024-02-21,S100135,U5405,google,organic,mobile,Canada,1,9,0,398,0,0.0
2024-04-05,S100136,U4203,instagram,email,desktop,United Kingdom,1,7,0,253,0,0.0
2024-05-11,S100137,U7139,facebook,referral,mobile,United Kingdom,1,1,0,843,0,0.0
2024-05-30,S100138,U2574,email,cpc,desktop,Australia,1,5,0,1766,0,0.0
2024-05-22,S100139,U6191,instagram,referral,tablet,Australia,1,2,0,1153,0,0.0
2024-06-19,S100140,U3892,instagram,referral,mobile,Australia,1,10,0,1128,0,0.0
2024-01-29,S100141,U2695,instagram,referral,mobile,Canada,1,6,1,753,0,0.0
2024-02-05,S100142,U4258,google,email,desktop,Australia,1,7,0,1490,2,187.49
2024-01-13,S100143,U7629,linkedin,organic,desktop,United States,1,12,1,732,0,0.0
2024-06-08,S100144,U4262,email,cpc,desktop,Canada,1,2,0,1421,0,0.0
2024-03-11,S100145,U2445,facebook,organic,desktop,Canada,1,11,0,92,0,0.0
2024-03-26,S100146,U7263,direct,organic,desktop,Australia,1,6,0,1677,1,308.32
2024-01-28,S100147,U1219,linkedin,none,mobile,Australia,1,13,0,1708,1,170.09
2024-03-06,S100148,U1052,email,email,desktop,Canada,1,3,0,128,1,241.36
2024-06-18,S100149,U2757,google,none,mobile,United Kingdom,1,9,0,806,0,0.0
2024-02-14,S100150,U6570,instagram,email,mobile,United Kingdom,1,4,0,1278,1,21.94
2024-03-02,S100151,U2666,direct,organic,mobile,Australia,1,3,0,104,0,0.0
2024-05-13,S100152,U6356,email,organic,desktop,United Kingdom,1,13,0,1763,0,0.0
2024-01-28,S100153,U7901,facebook,email,desktop,United States,1,11,1,213,1,139.97
2024-01-28,S100154,U3785,email,organic,mobile,United States,1,3,1,1346,0,0.0
2024-04-17,S100155,U1719,linkedin,organic,mobile,United States,1,2,1,1110,0,0.0
2024-02-13,S100156,U1405,bing,cpc,mobile,Canada,1,12,1,1302,0,0.0
2024-03-24,S100157,U7751,linkedin,none,mobile,Canada,1,9,0,1679,0,0.0
2024-01-30,S100158,U7565,email,none,desktop,Canada,1,8,0,498,0,0.0
2024-03-15,S100159,U7855,direct,none,desktop,Canada,1,5,1,169,0,0.0
2024-05-07,S100160,U3294,email,referral,desktop,Canada,1,14,0,388,0,0.0
2024-04-01,S100161,U1071,email,cpc,mobile,Australia,1,14,1,1606,0,0.0
2024-05-08,S100162,U6949,google,none,mobile,United Kingdom,1,13,0,1461,0,0.0
2024-04-30,S100163,U7328,facebook,none,mobile,Australia,1,9,0,1527,0,0.0
2024-01-27,S100164,U3053,direct,cpc,mobile,United Kingdom,1,13,0,1718,0,0.0
2024-04-30,S100165,U2229,email,organic,mobile,Australia,1,2,1,1499,0,0.0
2024-04-25,S100166,U2567,instagram,none,desktop,United States,1,6,1,1009,1,185.66
2024-01-03,S100167,U4682,facebook,organic,desktop,India,1,7,1,1285,0,0.0
2024-04-12,S100168,U3953,linkedin,none,mobile,Canada,1,6,0,1670,0,0.0
2024-06-03,S100169,U5482,direct,email,desktop,India,1,3,0,1671,1,36.5
2024-05-16,S100170,U6887,linkedin,referral,desktop,India,1,10,0,329,0,0.0
2024-03-02,S100171,U1698,email,none,desktop,United States,1,14,1,1695,0,0.0
2024-06-13,S100172,U6296,linkedin,email,desktop,India,1,10,0,455,0,0.0
2024-02-20,S100173,U1826,linkedin,cpc,desktop,India,1,10,0,1024,0,0.0
2024-06-20,S100174,U6918,google,email,mobile,United States,1,9,0,190,0,0.0
2024-05-31,S100175,U1348,linkedin,cpc,tablet,United Kingdom,1,14,0,430,0,0.0
2024-02-28,S100176,U6374,instagram,none,tablet,Australia,1,12,0,1431,0,0.0
2024-04-27,S100177,U4908,instagram,cpc,desktop,India,1,8,0,1310,0,0.0
2024-06-08,S100178,U1307,facebook,email,mobile,Canada,1,8,0,770,0,0.0
2024-04-05,S100179,U4416,email,referral,tablet,United States,1,8,1,891,0,0.0
2024-06-28,S100180,U6246,bing,organic,mobile,India,1,9,0,523,0,0.0
2024-04-22,S100181,U7056,linkedin,organic,mobile,United Kingdom,1,1,0,518,0,0.0
2024-03-02,S100182,U3334,linkedin,referral,mobile,United Kingdom,1,8,0,1235,0,0.0
2024-02-21,S100183,U5861,direct,organic,desktop,Canada,1,2,1,555,0,0.0
2024-01-12,S100184,U5820,google,none,mobile,India,1,4,0,1153,1,360.91
2024-02-08,S100185,U3809,bing,none,desktop,Canada,1,1,0,766,0,0.0
2024-05-09,S100186,U6715,facebook,email,desktop,United Kingdom,1,12,0,387,0,0.0
2024-05-10,S100187,U4558,bing,email,tablet,United Kingdom,1,6,0,1284,0,0.0
2024-04-22,S100188,U5478,linkedin,cpc,desktop,Australia,1,10,1,594,0,0.0
2024-04-10,S100189,U4477,direct,email,desktop,United Kingdom,1,1,1,1059,0,0.0
2024-04-22,S100190,U7531,email,none,tablet,United States,1,12,0,119,0,0.0
2024-03-21,S100191,U5620,google,email,tablet,Australia,1,5,0,93,0,0.0
2024-04-22,S100192,U3686,email,organic,desktop,Canada,1,9,0,1141,0,0.0
2024-01-02,S100193,U3985,facebook,cpc,mobile,United Kingdom,1,1,0,1086,0,0.0
2024-05-09,S100194,U1275,bing,cpc,desktop,United States,1,9,1,1125,1,121.95
2024-02-23,S100195,U3547,facebook,none,desktop,Australia,1,4,0,1609,0,0.0
2024-03-27,S100196,U3764,linkedin,email,desktop,United States,1,3,0,282,0,0.0
2024-05-08,S100197,U1336,facebook,organic,desktop,Australia,1,8,1,136,0,0.0
2024-05-26,S100198,U2973,email,email,desktop,Australia,1,6,0,959,0,0.0
2024-05-05,S100199,U3979,direct,referral,desktop,Australia,1,7,0,543,0,0.0
2024-05-09,S100200,U5576,facebook,email,mobile,Canada,1,9,0,165,0,0.0
2024-02-22,S100201,U4968,instagram,none,mobile,Australia,1,5,0,658,0,0.0
2024-06-20,S100202,U1910,direct,email,mobile,Australia,1,13,1,438,0,0.0
2024-06-08,S100203,U2996,bing,cpc,mobile,United States,1,2,0,150,1,279.42
2024-06-08,S100204,U4129,google,organic,desktop,Australia,1,3,0,1531,0,0.0
2024-03-08,S100205,U6447,google,none,mobile,Canada,1,3,0,829,1,208.85
2024-05-02,S100206,U7129,linkedin,referral,mobile,United States,1,4,0,853,1,199.68
2024-05-24,S100207,U6850,linkedin,organic,desktop,Australia,1,10,1,1147,0,0.0
2024-02-07,S100208,U5204,instagram,organic,desktop,United States,1,7,0,534,0,0.0
2024-01-24,S100209,U4757,bing,cpc,mobile,Canada,1,12,1,36,0,0.0
2024-03-09,S100210,U1327,email,cpc,mobile,United States,1,10,1,973,0,0.0
2024-04-25,S100211,U2799,google,cpc,mobile,Canada,1,6,1,1653,0,0.0
2024-04-07,S100212,U1314,google,none,desktop,United Kingdom,1,3,1,1747,0,0.0
2024-05-18,S100213,U4545,google,email,desktop,Australia,1,14,0,220,0,0.0
2024-05-23,S100214,U2134,email,organic,mobile,Canada,1,7,1,486,0,0.0
2024-04-06,S100215,U3746,google,email,mobile,Australia,1,4,0,1773,0,0.0
2024-05-03,S100216,U5876,facebook,email,desktop,Canada,1,10,0,415,1,24.22
2024-03-10,S100217,U2520,bing,cpc,desktop,India,1,11,0,832,0,0.0
2024-04-02,S100218,U1155,direct,email,mobile,India,1,11,0,895,0,0.0
2024-01-03,S100219,U6592,direct,organic,mobile,India,1,8,0,1052,0,0.0
2024-05-27,S100220,U2724,instagram,organic,desktop,Canada,1,7,0,307,0,0.0
2024-06-12,S100221,U4343,facebook,referral,desktop,Australia,1,7,0,1501,0,0.0
2024-05-26,S100222,U1886,google,none,mobile,India,1,9,0,856,0,0.0
2024-03-30,S100223,U4073,google,email,tablet,Australia,1,8,0,974,0,0.0
2024-05-26,S100224,U3805,linkedin,none,desktop,Canada,1,12,1,81,0,0.0
2024-05-27,S100225,U1721,linkedin,none,desktop,Australia,1,1,0,1458,0,0.0
2024-04-05,S100226,U1912,instagram,none,mobile,Australia,1,7,0,425,0,0.0
2024-02-21,S100227,U4357,google,none,desktop,India,1,3,0,808,0,0.0
2024-06-09,S100228,U1870,instagram,organic,mobile,United States,1,12,0,723,0,0.0
2024-06-16,S100229,U5108,facebook,email,mobile,United Kingdom,1,4,0,240,0,0.0
2024-05-07,S100230,U7751,direct,referral,desktop,Canada,1,6,0,919,0,0.0
2024-02-08,S100231,U1497,google,none,mobile,Canada,1,5,0,1763,0,0.0
2024-03-22,S100232,U2756,bing,referral,mobile,Canada,1,8,0,299,0,0.0
2024-04-13,S100233,U7381,email,organic,mobile,United Kingdom,1,2,0,574,0,0.0
2024-05-08,S100234,U2117,facebook,organic,desktop,United States,1,5,1,1036,1,52.79
2024-01-11,S100235,U4409,google,cpc,tablet,Australia,1,5,0,1667,0,0.0
2024-06-26,S100236,U3828,email,none,desktop,Canada,1,3,1,874,0,0.0
2024-05-30,S100237,U6290,bing,cpc,mobile,Australia,1,14,1,1045,0,0.0
2024-06-07,S100238,U7100,linkedin,referral,mobile,India,1,10,0,1335,0,0.0
2024-02-11,S100239,U7749,instagram,email,desktop,India,1,13,1,427,0,0.0
2024-04-08,S100240,U7804,linkedin,cpc,mobile,India,1,5,1,1269,0,0.0
2024-01-07,S100241,U2647,direct,organic,tablet,Canada,1,4,0,1485,1,453.09
2024-05-23,S100242,U6686,linkedin,none,desktop,United Kingdom,1,11,0,1374,0,0.0
2024-03-30,S100243,U7992,google,referral,desktop,Canada,1,5,0,843,0,0.0
2024-04-21,S100244,U3983,bing,organic,mobile,India,1,10,0,668,0,0.0
